word,meaning
ตัวนับ,{'คำนาม': ['ตัวเลข']}
ลูกอ่อนแดง,{'คำนาม': ['ทารก']}
แง่ง,"{'คำนาม': ['ส่วนที่งอกเป็นแง่ออกมาจากเหง้าขิงข่ากะทือเป็นต้น'], 'คำลักษณนาม': ['เรียกขิงข่ากะทือ'], 'คำอุทาน': ['เสียงขู่ของหมาเมื่อจะกัดกันในเวลาแย่งอาหารกันเป็นต้น']}"
เพศ,"{'คำนาม': ['รูปที่แสดงให้รู้ว่าหญิงหรือชาย', 'ประเภทของคำในตระกูลภาษาอินโด-ยูโรเปียน', 'เครื่องแต่งกาย', 'การประพฤติปฏิบัติตน']}"
ลิงค์,"{'คำนาม': ['เครื่องหมายเพศ', 'ประเภทของคำในตระกูลภาษาอินโด-ยูโรเปียน', 'อวัยวะเพศชาย']}"
กระชับพื้นที่,{'คำกริยา': ['ควบคุมพื้นที่ชุมนุมให้แคบลง']}
กะโหลกหนาปัญญานิ่ม,{'คำคุณศัพท์': ['โง่']}
กับระเบิด,"{'คำนาม': ['วัตถุระเบิดที่วางดักไว้ เมื่อไปเหยียบหรือกระทบเข้าก็จะระเบิดทันที', 'อุจจาระ (มักเป็นอุจจาระของสุนัขที่ถ่ายเรี่ยราดไว้ตามทางเดิน)', 'โดยปริยายหมายถึงสิ่งที่แฝงอยู่ในสิ่งอื่น และต้องคอยระวังมิให้ถูกต้อง มิฉะนั้น อาจก่อความไม่สบายกายหรือใจ']}"
จิ้งหรีด,{'คำนาม': ['แมลงจำพวกหนึ่ง อยู่ในวงศ์ Gryllidae ซึ่งมีขาคู่หลังใหญ่ ไว้สำหรับกระโดด และตัวผู้มีอวัยวะพิเศษสำหรับกรีดเสียง']}
เล็กพริกขี้หนู,"{'คำคุณศัพท์': ['เล็กแต่เก่งกล้าสามารถมาก', 'เล็กแต่มีพิษสง']}"
สำนึก,{'คำกริยา': ['รู้สึกซาบซึ้ง']}
จ่าสิบเอก,"{'คำนาม': ['ยศทหารชั้นประทวนของกองทัพบก สูงกว่าจ่าสิบโท ต่ำกว่าร้อยตรี, ย่อว่า จ.ส.อ.', 'ยศ']}"
ขัว,"{'คำนาม': ['สะพาน', 'สะพาน', 'สะพาน'], 'คำกริยา': ['ขุดดินอย่างตื้น']}"
หมากไฟ,"{'คำนาม': ['มะไฟ', 'ผลไม้']}"
หมากเขือ,"{'คำนาม': ['มะเขือ', 'ผัก']}"
ขี้เท่า,{'คำนาม': ['ขี้เถ้า']}
สึก,"{'คำกริยา': ['กร่อนไป, ร่อยหรอไป', 'ลาสิกขา, ลาสึก ก็ว่า'], 'คำนาม': ['การรู้ตัว, การระลึกได้, การจำได้, มักใช้ควบกับคำ รู้ เป็น รู้สึก และแผลงว่า สำนึก ก็มี']}"
คนสึก,{'คำนาม': ['ทหาร (คนศึก)']}
เชื่อใจ,{'คำกริยา': ['ไว้ใจ']}
มั่นใจ,"{'คำกริยา': ['แน่ใจ, เชื่อใจ']}"
หม้อน้ำรถยนต์,{'คำนาม': ['อุปกรณ์ของเครื่องยนต์บางชนิด สำหรับบรรจุน้ำเพื่อระบายความร้อนของเครื่องยนต์']}
ฉิบหาย,"{'คำกริยา': ['สูญหมด, เสียหมด, หมดเร็ว, ป่นปี้'], 'คำกริยาวิเศษณ์': ['มาก']}"
เสบียง,"{'คำนาม': ['อาหารที่จะเอาไปกินระหว่างเดินทางไกล, อาหารที่เก็บไว้สำหรับบริโภค', 'เสบียงอาหาร']}"
สมี,{'คำนาม': ['ชื่อไม้ล้มลุกชนิด Sesbania sesban (L.) Merr. ในวงศ์ Leguminosae ดอกสีเหลืองมีประสีน้ำตาล ใบคล้ายใบโสนใช้ทำยาและใช้ในพิธีพลีกูณฑ์']}
สาเหตุ,{'คำนาม': ['ต้นเหตุ']}
เหตุการณ์,{'คำนาม': ['เรื่องที่เกิดขึ้น']}
ศูนย์กลาง,"{'คำนาม': ['แหล่งกลาง, ศูนย์ ก็ว่า ']}"
สังวัตสร,"{'คำนาม': ['ปี', 'บางครั้งเขียนว่า สังวัจฉร มีความหมายเฉพาะ หมายถึง ค่าคงที่ประจำปีจันทรคติในปฏิทินจันทรคติไทย ซึ่งในแต่ละปีจันทรคติไทยหนึ่งๆ จะเกิดค่าคงที่ค่าๆหนึ่งขึ้นเสมอ และเมื่อนำมาร้อยเรียงกันจะเกิดแผนที่ปฏิทินจันทรคติที่กระทัดรัดที่สุด สามารถนำไปตรวจสอบวันที่ทางจันทรคติ ว่าเป็นวันภายในปีนั้นๆถูกต้องหรือไม่ได้อย่างรวดเร็ว']}"
เกลี่ยไกล่,"{'คำกริยา': ['พูดจาให้ปรองดองกัน, พูดจาให้ตกลงกัน', 'ลูบไล้', 'ทำให้เรียบร้อย, ทำให้มีส่วนเสมอกัน']}"
จรจรัล,"{'คำกริยา': ['เที่ยวไป, เดินไป']}"
เที่ยว,"{'คำนาม': ['ใช้เรียกการไปยังที่ซึ่งกำหนดไว้ครั้งหนึ่ง ๆ หรือไปกลับรอบหนึ่ง ๆ'], 'คำลักษณนาม': ['ลักษณนามบอกอาการเช่นนั้น'], 'คำกริยา': ['กิริยาที่ไปที่โน่นที่นี่เรื่อยไป มักใช้พูดประกอบกับกริยาอื่น', 'ไปไหน ๆ เพื่อความเพลิดเพลินตามสบาย', 'เตร็ดเตร่ไปเพื่อหาความสนุกเพลิดเพลินตามที่ต่าง ๆ']}"
เมียเก็บ,{'คำนาม': ['เมียที่เก็บไว้ไม่ออกหน้าออกตา']}
เตร็ด,"{'คำนาม': ['เกร็ด, ลำน้ำเล็กที่เป็นทางลัดเชื่อมลำน้ำใหญ่สายเดียวกันทั้ง 2 ข้าง']}"
เกลาะ,"{'คำกริยา': ['เกราะ, พูดเลียบเคียง']}"
เกรี้ยว,{'คำกริยาวิเศษณ์': ['อาการที่แสดงความเดือดดาลหรือโกรธมาก']}
เกรี้ยว ๆ,{'คำคุณศัพท์': ['อาการที่แสดงความเดือดดาลหรือโกรธมาก']}
เกเรเกเส,{'คำคุณศัพท์': ['ไม่ตรงไปตรงมา']}
เกเรเกตุง,"{'คำคุณศัพท์': ['ไม่เอางานเอาการ, ไม่เอาเรื่องเอาราว', 'ไม่เอาใจใส่การเรียน ไปเรียนบ้างไม่ไปบ้าง (ใช้กับเด็ก)']}"
เกล็ดกระโห้,"{'คำนาม': ['ชื่อขนมทำด้วยแป้งมี่ แป้งข้าวเจ้า และไข่ นวดกับกะทิ เกลือ และน้ำตาล ปั้นแล้วกดใส่พิมพ์คล้ายพิมพ์ทองม้วน ผิงไฟให้สุกกรอบ', 'ชื่อไม้พุ่มขนาดกลางถึงขนาดใหญ่ชนิด Clusia rosea Jacq. ในวงศ์ Clusiaceae นิยมปลูกเป็นไม้ประดับ มีถิ่นกำเนิดในแคริบเบียน สหรัฐ']}"
เกล็ดนาค,{'คำนาม': ['ชื่อลายมีรูปเป็นครึ่งวงกลมซ้อนกันคล้ายเกล็ดปลา']}
นางเกล็ด,"{'คำนาม': ['ชื่อปลาน้ำจืดชนิด  ในวงศ์ปลาตะเพียน (Cyprinidae) ลำตัวเพรียวแบนข้างเล็กน้อย ปากเล็กอยู่ปลายสุดของหัว ไม่มีหนวด เกล็ดเล็กเฉพาะบนเส้นข้างตัวมี 58–65 เกล็ด พื้นลำตัวสีเงินเป็นประกาย พบทั่วไปแต่มีชุกชุมในเขตภาคกลางของประเทศไทย ขนาดยาวได้ถึง 25 เซนติเมตร', 'ปลา']}"
เกล็ดถี่,{'คำนาม': ['ปลา']}
เกล็ดปลาช่อน,{'คำนาม': ['ชื่อไม้พุ่มชนิด  ในวงศ์ถั่ว (Fabaceae หรือ Leguminosae) ขึ้นตามป่าเบญจพรรณทั่วไป ช่อดอกยาว ดอกเล็กอยู่ภายในกาบรูปหอยแครงซึ่งประกบเรียงกันไปตามแนวก้านช่อดอก']}
เกล็ดหอย,"{'คำนาม': ['เทียนเกล็ดหอย, ชื่อเรียกเมล็ดแก่แห้งของไม้ล้มลุกชนิด  ในวงศ์ Plantaginaceae ใช้เป็นเครื่องยาสมุนไพร ซึ่งเมล็ดชนิดนี้เป็นชนิดหนึ่งในเทียนทั้ง 9', 'หญ้าเกล็ดหอย, ชื่อไม้ล้มลุกชนิด  ในวงศ์ Araliaceae ใบกลม ๆ คล้ายเกล็ดหอย', 'พืช']}"
เกลศ,{'คำนาม': ['กิเลส']}
เกลากลึง,{'คำคุณศัพท์': ['งามเกลี้ยงเกลา']}
กลึงเกลา,{'คำคุณศัพท์': ['งามเกลี้ยงเกลา']}
เกลี้ย,"{'คำกริยา': ['ชักชวน', 'ทำให้ไล่เลี่ยกัน']}"
เกลียวข้าง,"{'คำนาม': ['กล้ามเนื้อที่สีข้าง', 'กายวิภาคศาสตร์']}"
เกลียวคอ,"{'คำนาม': ['กล้ามเนื้อที่คอ สำหรับทำให้เอี้ยวคอได้สะดวก', 'กายวิภาคศาสตร์']}"
เกลียวหวาน,{'คำนาม': ['เกลียวของนอตเป็นต้นที่ชำรุดไม่กินเกลียวกัน']}
เกลี่ยวดำ,"{'คำนาม': ['โรคเปลี่ยวดำ', 'โรค']}"
เกลือกรด,{'คำนาม': ['เกลือที่เกิดขึ้นโดยธาตุไฮโดรเจนชนิดที่แปรสภาพเป็นไอออนได้ ซึ่งมีอยู่ในโมเลกุลของกรด ถูกโลหะหรือหมู่ธาตุที่เทียบเท่าโลหะเข้ามาแทนที่ไม่หมด เช่น โซเดียมไฮโดรเจนซัลเฟต (NaHSO4)']}
เกลือแกง,{'คำนาม': ['โซเดียมคลอไรด์']}
เกลือจืด,{'คำนาม': ['เกลือที่ตกผลึกก่อนเกลือชนิดอื่น ๆ ในการทำนาเกลือ มีปนอยู่กับเกลือที่ใช้ในการปรุงอาหารเสมอ ไม่มีรส หรือ เกลือที่ได้จากการเผายิปซัม']}
เกลือเงิน,{'คำนาม': ['เกลือปรกติชนิดหนึ่งชื่อซิลเวอร์ไนเทรต (AgNO3) ลักษณะเป็นผลึกสีขาวละลายน้ำได้ ใช้ประโยชน์ในทางแพทย์ อุตสาหกรรมชุบโลหะให้เป็นเงิน']}
เกลือด่าง,"{'คำนาม': ['เกลือเบสิก, เกลือที่เกิดขึ้นโดยอนุมูลกรดเข้าไปแทนที่หมู่ไฮดรอกซิล (OH) ซึ่งมีอยู่ในโมเลกุลของเบสไม่หมด เช่น เลดไฮดรอกซีคลอไรด์ [Pb (OH) Cl]']}"
เกลือเบสิก,{'คำนาม': ['เกลือที่เกิดขึ้นโดยอนุมูลกรดเข้าไปแทนที่หมู่ไฮดรอกซิล (OH) ซึ่งมีอยู่ในโมเลกุลของเบสไม่หมด เช่น เลดไฮดรอกซีคลอไรด์ [Pb (OH) Cl]']}
เกลือด่างคลี,{'คำนาม': ['ชื่อเกลือชนิดหนึ่งในตำรายาไทย']}
เกลือปรกติ,{'คำนาม': ['เกลือที่เกิดขึ้นโดยธาตุไฮโดรเจนชนิดที่แปรสภาพเป็นไอออนได้ ซึ่งมีอยู่ในโมเลกุลของกรดถูกโลหะหรือหมู่ธาตุที่เทียบเท่าโลหะเข้ามาแทนที่จนหมดสิ้น เช่น โซเดียมซัลเฟต (Na2SO4)']}
เกลือฟอง,{'คำนาม': ['ชื่อเกลือชนิดหนึ่งในตำรายาไทย']}
เกลือยูเรต,"{'คำนาม': ['เกลือของกรดยูริก', 'อังกฤษ : urate (en)']}"
เกลือสมุทร,{'คำนาม': ['เกลือที่ได้จากน้ำทะเล']}
เสร่อ,"{'คำกริยา': ['เชย, ล้าสมัย']}"
ปัง,"{'คำอุทาน': ['เสียงดังเช่นนั้นอย่างเสียงยิงปืน'], 'คำกริยาวิเศษณ์': ['โดยปริยายหมายความว่า ถูกตรงที่หมาย'], 'คำนาม': ['ขนมปัง', 'ดอกไม้', 'ขวด'], 'คำคุณศัพท์': ['เป๊ะและอลังการมาก ๆ']}"
ขนมปัง,"{'คำนาม': ['อาหารชนิดหนึ่ง ทำด้วยแป้งสาลี แป้งข้าวไรย์ แป้งข้าวบาร์เลย์ เป็นต้น ผสมยีสต์ นวดให้เข้ากัน ทิ้งไว้จนขึ้นฟู ใส่พิมพ์แล้วอบให้สุก', 'ผ้าอนามัย']}"
สมองไหล,"{'คำนาม': ['ภาวะที่คนมีความรู้ความสามารถไปทำงานที่อื่นแทนที่จะทำงานให้หน่วยงานหรือประเทศของตนให้เจริญรุ่งเรือง'], 'คำกริยา': ['ไปทำงานที่อื่นแทนที่จะทำงานให้หน่วยงานหรือประเทศของตนให้เจริญรุ่งเรือง']}"
ไขก๊อก,"{'คำกริยา': ['ลาออก, ถอนตัว', 'เลิกกิจการ']}"
วินวิน,{'คำกริยา': ['ชนะหมดทุกฝ่าย ทุกฝ่ายได้ประโยชน์ ไม่มีผู้ใดเสียประโยชน์']}
มาวิน,{'คำกริยา': ['ชนะ']}
โป๊ะเชะ,"{'คำกริยา': ['ตรงเผง, แม่นยำตามคาด']}"
มวลชน,{'คำนาม': ['กลุ่มชนจำนวนมาก']}
ทิชชู่,"{'คำนาม': ['กระดาษเนื้อบางนุ่ม ซับน้ำได้ดี ใช้แล้วทิ้งไป', 'ทิชชู', 'กระดาษชำระ']}"
ฟางเส้นสุดท้าย,"{'คำนาม': ['เหตุที่ทำให้ความอดทนที่มีมานานสิ้นสุดลง', 'โอกาสหรือความหวังสุดท้ายที่ต้องรีบคว้าไว้ มิฉะนั้นจะสูญไป']}"
ราคาคุย,{'คำนาม': ['คุณค่าที่เกิดจากการคุยโอ้อวด หากถูกต้องเหมาะสมดังที่โอ้อวดไว้จริงจะเรียกว่า สมราคาคุย']}
ปัญญานิ่ม,"{'คำนาม': ['พฤติกรรมที่แสดงว่ามีระดับสติปัญญาต่ำกว่าปรกติ', 'กะโหลกหนาปัญญานิ่ม, โง่']}"
เซเล็บ,"{'คำนาม': ['คนดัง, ผู้ที่มีชื่อเสียงในสังคม (มักใช้หมายถึงดารา นักร้อง ไฮโซ เป็นต้น)', 'พุทธเซเล็บ']}"
เสียงลือเสียงเล่าอ้าง,{'คำนาม': ['ข่าวลือ']}
ฎีกากฐิน,{'คำนาม': ['ใบบอกบุญเรี่ยไรเงินในการทอดกฐิน']}
ฐานันดรที่สี่,{'คำนาม': ['สื่อมวลชน (คำนี้เมื่อเริ่มใช้หมายถึงเฉพาะนักหนังสือพิมพ์)']}
ยุ่น,{'คำวิสามานยนาม': ['ญี่ปุ่น']}
ยุ่นปี่,{'คำวิสามานยนาม': ['ญี่ปุ่น']}
นางงามตู้กระจก,{'คำนาม': ['หญิงที่ทำอาชีพอาบอบนวด ซึ่งอาจแฝงขายบริการทางเพศด้วย']}
รับจ๊อบ,{'คำกริยา': ['รับจ้างทำงานเป็นชิ้น ๆ']}
มนุษย์เงินเดือน,{'คำนาม': ['ผู้มีรายได้จากเงินเดือนอย่างเดียว']}
มาดแมน,{'คำกริยา': ['มีบุคลิกและรูปร่างหน้าตาเป็นผู้ชายแท้']}
มาดแมนแฮนด์ซั่ม,{'คำกริยา': ['หล่อและมีบุคลิกและรูปร่างหน้าตาเป็นผู้ชายแท้']}
กุ้งร้อยขา,{'คำนาม': ['กิ้งกือ']}
โค้ด,"{'คำนาม': ['รหัสลับ', 'รหัสต้นฉบับ'], 'คำกริยา': ['เขียนรหัสต้นฉบับเพื่อสร้างโปรแกรมเป็นต้น']}"
งงเต้ก,{'คำกริยา': ['มึนจนทำอะไรไม่ถูก']}
ดับเครื่องชน,{'คำกริยา': ['ต่อสู้อย่างเต็มที่โดยไม่คำนึงถึงผลร้ายที่จะเกิดแก่ตน']}
หาวเรอ,{'คำกริยา': ['รอนานโดยไม่มีความหวัง']}
พาลพาโลโฉเก,{'คำกริยา': ['พาลหาเรื่อง']}
ไง,"{'คำกริยาวิเศษณ์': ['อย่างไร'], 'คำอุทาน': ['ใช้ทักทายเมื่อพบปะเพื่อนฝูงอย่างไม่เป็นทางการ'], 'คำกริยา': ['ง้าง, เปิด']}"
ยังไง,"{'คำกริยาวิเศษณ์': ['อย่างไร, ใช้ในประโยคคำถาม ถามถึงความเป็นไป ความเป็นอยู่, ถามถึงวิธีหรือความเห็นเป็นต้น', 'ถ้าใช้ใน ประโยคที่ไม่เป็นคำถาม หมายความว่า จะโดยวิธีใด ๆ ก็ตาม']}"
ดูหนังสี่จอ,{'คำกริยา': ['เข้ามุ้งนอน']}
โต๋เต๋,"{'คำกริยา': ['เดินไปเรื่อย ๆ ไม่มีจุดหมาย, เดินเล่น', 'เรื่อยเปื่อย']}"
อุนจิ,{'คำนาม': ['อุจจาระ']}
ไม่เผาผี,{'คำกริยา': ['ไม่อโหสิให้แม้ตายจากกัน']}
ขุดโคตร,{'คำกริยา': ['ยกมาตั้งแต่ต้นตระกูล']}
พี่พจน์,{'คำนาม': ['พจนานุกรม']}
สละสิทธิ์,{'คำกริยา': ['ละทิ้งสิทธิ์ที่เป็นของตนไป']}
ม้วนเดียวจบ,{'คำกริยา': ['ทำให้จบหรือยุติอย่างรวดเร็ว']}
เสือผู้หญิง,{'คำนาม': ['ผู้ชายที่เจ้าชู้มาก มีชู้รักหลายคน']}
กวนเมือง,{'คำกริยา': ['ก่อกวนให้เกิดความวุ่นวายในบ้านเมือง']}
ข้าวแฝ่,"{'คำนาม': ['กาแฟ', 'กาแฟ']}"
เอร็ด,"{'คำกริยา': ['อร่อย', 'ดุเดือดถึงใจ']}"
ฮากริบ,"{'คำกริยา': ['ไม่ขำ, ไม่ตลก']}"
วงแตก,"{'คำกริยา': ['เลิกกิจกรรมที่ทำเป็นกลุ่มโดยกะทันหันและแยกย้ายกันไป เพราะเกิดเหตุอย่างใดอย่างหนึ่ง', 'เลิกการรวมกลุ่มโดยกะทันหัน เพราะเกิดเหตุอย่างใดอย่างหนึ่ง']}"
ฮือฮา,{'คำกริยา': ['สนใจแกมประหลาดใจและตื่นเต้น (ใช้กับคนจำนวนมาก)']}
ยังงั้น,"{'คำกริยาวิเศษณ์': ['อย่างนั้น, ดังนั้น, เช่นนั้น, ฉะนั้น']}"
ยังงี้,"{'คำกริยาวิเศษณ์': ['อย่างนี้, ดังนี้, เช่นนี้, ฉะนี้']}"
งั้น ๆ,"{'คำกริยาวิเศษณ์': ['ธรรมดา, พื้น ๆ, ไม่น่าสนใจ, ไม่มีคุณสมบัติพิเศษ']}"
จิตตก,"{'คำกริยา': ['รู้สึกเศร้าหมองขุ่นมัว', 'สติแตก']}"
รึ,{'คำคุณศัพท์': ['ใหญ่']}
อย่างไร,"{'คำกริยาวิเศษณ์': ['ใช้ในประโยคคำถาม ถามถึงความเป็นไป ความเป็นอยู่, ถามถึงวิธีหรือความเห็นเป็นต้น', 'ถ้าใช้ใน ประโยคที่ไม่เป็นคำถาม หมายความว่า จะโดยวิธีใด ๆ ก็ตาม']}"
โฮมออฟฟิศ,{'คำนาม': ['สำนักงานที่ใช้บ้านเป็นที่ทำการ']}
แฮตทริก,{'คำนาม': ['การที่ผู้เล่นคนหนึ่งทำประตูฟุตบอลได้ตั้งแต่ 3 ประตูขึ้นไปในการแข่งขันเกมเดียว']}
ไก่กา,"{'คำคุณศัพท์': ['ไม่จริงใจ, โกหก, หลอกลวง']}"
ก้นกรอง,"{'คำนาม': ['ส่วนท้ายของบุหรี่ชนิดที่มีที่กรองสารพิษเช่นนิโคตินซึ่งอยู่ในควันบุหรี่, เดิมเรียกว่า ก้นก๊อก']}"
ก้นไม่ทันร้อน,{'คำกริยา': ['ไม่นาน']}
ก้นยังไม่ทันร้อน,{'คำกริยา': ['ไม่นาน']}
กรงขัง,{'คำนาม': ['ห้องขังนักโทษหรือผู้ที่ต้องหาว่ากระทำสิ่งที่ผิดกฎหมาย']}
กรรมติดจรวด,{'คำนาม': ['การทำชั่วที่ส่งผลต่อผู้กระทำอย่างรวดเร็ว']}
กรรมออนไลน์,{'คำนาม': ['การทำชั่วที่ส่งผลต่อผู้กระทำอย่างรวดเร็ว']}
เชี่ยว,{'คำคุณศัพท์': ['อาการที่สายน้ำไหลแรง เรียกว่า น้ำไหลเชี่ยว']}
เชี่ยวชาญ,"{'คำคุณศัพท์': ['สันทัดจัดเจน, ช่ำชอง, มีความชำนิชำนาญมาก']}"
ชาญ,"{'คำคุณศัพท์': ['ชำนาญ, เชี่ยวชาญ']}"
ชำนาญ,"{'คำกริยา': ['เชี่ยวชาญ, จัดเจน']}"
ชำนิ,"{'คำกริยา': ['ขี่', 'รู้ชัดเจน, เชี่ยวชาญ, คล่องแคล่ว'], 'คำนาม': ['พาหนะ']}"
ชำนิชำนาญ,"{'คำกริยา': ['เชี่ยวชาญมาก, สันทัดจัดเจน']}"
อุดมคติ,{'คำนาม': ['จินตนาการที่ถือว่าเป็นมาตรฐานแห่งความดี ความงาม และความจริง ทางใดทางหนึ่งที่มนุษย์ถือว่าเป็นเป้าหมายแห่งชีวิตของตน']}
การเมือง,"{'คำนาม': ['งานที่เกี่ยวกับรัฐหรือแผ่นดิน', 'การบริหารประเทศเฉพาะซึ่งเกี่ยวกับนโยบายในการบริหารประเทศ', 'กิจการอำนวยหรือควบคุมการบริหารราชการแผ่นดิน'], 'คำกริยาวิเศษณ์': ['มีเงื่อนงำ, มีการกระทำอันมีเจตนาอื่นแอบแฝงอยู่']}"
พรรคการเมือง,{'คำนาม': ['กลุ่มบุคคลที่มีอุดมการณ์ทางการเมืองอย่างเดียวกัน ร่วมกันจัดตั้งและจดทะเบียนเป็นพรรคการเมืองตามกฎหมาย']}
การบ้านการเมือง,{'คำนาม': ['กิจการบ้านเมืองทั่ว ๆ ไป']}
ทำการบ้าน,"{'คำกริยา': ['ทำงานหรือแบบฝึกหัดตามที่ครูอาจารย์สั่งให้ทำนอกเวลาเรียน', 'เตรียมการมาล่วงหน้าเพื่อผลลัพธ์ที่ดี', 'มีเพศสัมพันธ์กับภรรยา']}"
เศรษฐกิจ,{'คำนาม': ['งานอันเกี่ยวกับการผลิต การจำหน่ายจ่ายแจก และการบริโภคใช้สอยสิ่งต่าง ๆ ของชุมชน']}
กิจจะ,"{'คำนาม': ['ธุระ, งาน']}"
ช่วยตัวเอง,"{'คำกริยา': ['การพึ่งพาตนเอง หรือลงมือกระทำด้วยตัวเอง เช่น จงช่วยตัวเองก่อนที่จะให้คนอื่นช่วย', 'สำเร็จความใคร่ด้วยตนเอง']}"
ชักว่าว,"{'คำกริยา': ['เล่นว่าว', 'สำเร็จความใคร่ด้วยตนเอง ใช้แก่เพศชาย']}"
เย็ด,"{'คำกริยา': ['ทำ', 'ร่วมประเวณี', 'เพศ']}"
เอากัน,"{'คำกริยา': ['ร่วมประเวณี', 'เพศ']}"
ล่อกัน,"{'คำกริยา': ['ร่วมประเวณี', 'เพศ']}"
กวนตีน,{'คำกริยา': ['ชวนให้หมั่นไส้จนอยากทำร้าย (เป็นคำไม่สุภาพ)']}
กวนบาทา,{'คำกริยา': ['ชวนให้หมั่นไส้จนอยากทำร้าย']}
โฟนอิน,{'คำกริยา': ['โทรศัพท์เข้ารายการวิทยุเป็นต้นเพื่อถ่ายทอดเสียงสนทนาให้ผู้ฟังได้ยิน']}
เชลียร์,{'คำกริยา': ['สนับสนุนและประจบประแจงอย่างออกหน้าออกตา']}
เขวี้ยง,"{'คำกริยา': ['ขว้าง, เอี้ยวตัวเบี่ยงแขนไปทางหลังแล้วซัดสิ่งที่อยู่ในมือออกไปโดยแรง']}"
เบเบ,"{'คำกริยา': ['ธรรมดา, พื้น ๆ']}"
ทดแทน,"{'คำกริยา': ['ตอบแทน', 'ชดใช้หรือชดเชยสิ่งที่เสียไป']}"
บัญชี,{'คำนาม': ['สมุดหรือกระดาษสำหรับจดรายการต่าง ๆ ไว้เป็นหลักฐาน']}
ยกกำลัง,"{'คำกริยา': ['คูณกันตามจำนวนอันดับที่ตามหลัง'], 'คำคุณศัพท์': ['ที่คูณกันตามจำนวนอันดับที่ตามหลัง, กำลัง ก็ว่า', 'เพิ่มขึ้นมาก']}"
สอย,"{'คำกริยา': ['เอาไม้มีขอหรือมีง่ามหรือไม้จำปาเกี่ยว ดึง ดัน หรือบิดเอาดอกไม้ลูกไม้เป็นต้นลงมา', 'ทำให้หลุดจากตำแหน่ง', 'ต่อยให้ล้มลง', 'แทงด้วยเข็มหรือสิ่งที่แหลมอย่างเข็มเย็บผ้าให้เป็นตะเข็บ', 'เย็บปิดชายผ้าด้วยวิธีการสอดเข็มเกี่ยวผ้าให้ติดกันโดยไม่ให้เห็นเส้นด้าย', 'ใช้, ใช้เข้าคู่กันเป็น ใช้สอย', 'รีบซื้อของโดยเร็ว (มักใช้กับของที่ออกใหม่ ราคาถูก เป็นต้น)']}"
ใช้สอย,"{'คำกริยา': ['เอามาทำให้เกิดประโยชน์', 'จับจ่าย', 'บังคับให้ทำ']}"
จับจ่าย,"{'คำกริยา': ['ใช้เงินซื้อหา, มักใช้เข้าคู่กับคำ ใช้สอย เป็น จับจ่ายใช้สอย']}"
เพศสัมพันธ์,"{'คำนาม': ['การร่วมเพศ, กิจกรรมทางเพศ ใช้กับมนุษย์เพศใดก็ได้, กริยาใช้ว่า มีเพศสัมพันธ์', 'เพศ']}"
เพศศึกษา,{'คำนาม': ['วิชาที่ว่าด้วยการศึกษาเรื่องทางเพศ']}
ตกเบ็ด,"{'คำนาม': ['ชื่อการพนันอย่างหนึ่ง'], 'คำกริยา': ['หย่อนเบ็ดล่อปลา', 'ล่อให้หลง โดยมีเครื่องล่อ', 'สำเร็จความใคร่ด้วยตนเอง ใช้แก่เพศหญิง']}"
ซัด,"{'คำนาม': ['ชื่อไม้ล้มลุกชนิด Trigonella foenumgraecum L. ในวงศ์ Leguminosae เมล็ดใช้ทำยาได้ และใช้ต้มชุบผ้าให้มีกลิ่นหอม เรียกว่า ลูกซัด', 'เสื่อ, สาด'], 'คำกริยา': ['สาดโดยแรง', 'สาดไปทั่ว ๆ', 'เหวี่ยงไปโดยแรง', 'ปล่อยลง, ทิ้งลง', 'อาการที่คลื่นเหวี่ยงตัวเข้ากระทบโดยแรง', 'โยนความผิดไปให้คนอื่น', 'รำทิ้งแขนออกไปข้างหน้าหรือด้านข้าง', 'วิถีดวงอาทิตย์จากเหนือไปใต้', 'กิน', 'ทำร้าย โดยการชก ตบ ตี เป็นต้น', 'ละ, ทิ้ง, หลบหนี']}"
โอเค,"{'คำกริยา': ['อยู่ในเกณฑ์ดี', 'เห็นด้วย, ตกลง'], 'คำอุทาน': ['เห็นด้วย, ตกลง']}"
โอเช,"{'คำกริยา': ['อยู่ในเกณฑ์ดี', 'เห็นด้วย, ตกลง'], 'คำอุทาน': ['เห็นด้วย, ตกลง']}"
พี่ไทย,{'คำนาม': ['คนไทยทั่วไป']}
โอเคซิกกาแร็ต,"{'คำกริยา': ['ตกลง', 'โอ', 'โอเค', 'โอเช']}"
สแลง,{'คำนาม': ['ถ้อยคำหรือสำนวนที่ใช้เข้าใจกันเฉพาะกลุ่มหรือชั่วระยะเวลาหนึ่งไม่ใช่ภาษาที่ยอมรับกันว่าถูกต้อง']}
แสลง,"{'คำคุณศัพท์': ['ไม่ถูกกับโรค', 'ขัด']}"
บำเพ็ญ,"{'คำกริยา': ['ทำให้เต็มบริบูรณ์, เพิ่มพูน (มักใช้ในเรื่องเกี่ยวกับศาสนา) เช่น บำเพ็ญบุญ บำเพ็ญบารมี', 'ประพฤติ, ปฏิบัติ เช่น บำเพ็ญตนให้เป็นประโยชน์ บำเพ็ญพรต']}"
เพ็ญ,{'คำคุณศัพท์': ['เต็ม']}
อะนิเมะ,{'คำนาม': ['ภาพยนตร์การ์ตูนแบบญี่ปุ่น']}
